日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20,MACD,MACD_signal,MACD_hist,RSI,BOLL_mid,BOLL_upper,BOLL_lower
2020-11-09,601318,72.94,73.42,73.94,72.74,809965,6726290432.0,1.67,2.34,1.68,0.75,71.3245,0.4818454932784988,0.4280698808384762,0.0537756124400226,61.34381783305292,71.3245,74.61769586420229,68.03130413579771
2020-11-10,601318,74.68,73.64,75.19,73.49,789003,6624999168.0,2.32,0.3,0.22,0.73,71.4155,0.6588736126106198,0.47423062719290493,0.1846429854177149,61.98337654931537,71.4155,74.8557353117191,67.97526468828089
2020-11-11,601318,73.64,73.96,74.47,73.09,542825,4534083840.0,1.87,0.43,0.32,0.5,71.52250000000001,0.8155893914308194,0.5425023800404879,0.27308701139033154,62.94373871803795,71.52250000000001,75.13519912945972,67.9098008705403
2020-11-12,601318,74.19,72.71,74.91,72.24,490544,4048788624.0,3.61,-1.69,-1.25,0.45,71.566,0.8293628433106619,0.5998744726945228,0.22948837061613914,56.89732236503627,71.566,75.21372477031902,67.91827522968099
2020-11-13,601318,71.52,70.78,72.14,70.07,707942,5675497216.0,2.85,-2.65,-1.93,0.65,71.483,0.676742466939487,0.6152480715435157,0.061494395395971346,49.0609751719645,71.483,75.12293461479723,67.84306538520278
2020-11-16,601318,71.13,73.54,73.7,71.13,701434,5775792640.0,3.63,3.9,2.76,0.65,71.5455,0.7696268732932481,0.6461238318934622,0.12350304139978585,57.9748675793171,71.5455,75.28040280998033,67.81059719001968
2020-11-17,601318,73.54,74.47,75.16,73.44,825064,6945950464.0,2.34,1.26,0.93,0.76,71.6855,0.907816913903261,0.698462448295422,0.209354465607839,60.48413421832767,71.6855,75.63246579665937,67.73853420334063
2020-11-18,601318,74.84,75.81,76.62,74.77,969658,8293242368.0,2.48,1.8,1.34,0.9,71.834,1.1126345592369802,0.7812968704837336,0.33133768875324654,63.834828356614594,71.834,76.14979146854883,67.51820853145118
2020-11-19,601318,75.64,75.86,76.19,74.95,549005,4675267840.0,1.64,0.07,0.05,0.51,71.99999999999999,1.2644132322564303,0.877920142838273,0.3864930894181573,63.957636294334634,71.99999999999999,76.65380274614198,67.346197253858
2020-11-20,601318,75.74,74.98,75.75,74.34,452986,3824038752.0,1.86,-1.16,-0.88,0.42,72.05199999999999,1.2987194492117595,0.9620800041129705,0.33663944509878907,60.09008504200624,72.05199999999999,76.81334686827148,67.2906531317285
2020-11-23,601318,75.44,76.66,76.88,75.09,783776,6717179392.0,2.39,2.24,1.68,0.72,72.253,1.444814411792592,1.058626885648895,0.3861875261436971,64.50319031673097,72.253,77.41888850053877,67.08711149946123
2020-11-24,601318,76.74,75.44,77.43,75.13,499930,4284342944.0,3.0,-1.59,-1.22,0.46,72.4495,1.4454892182386203,1.1359993521668401,0.3094898660717802,59.36914701948753,72.4495,77.78362963846948,67.11537036153052
2020-11-25,601318,76.43,77.69,78.99,76.41,1223689,10732748800.0,3.42,2.98,2.25,1.13,72.833,1.6090322806309558,1.2306059378596634,0.3784263427712924,64.91542819519812,72.833,78.50545308486535,67.16054691513465
2020-11-26,601318,77.45,79.59,79.83,77.09,909240,8027343360.0,3.53,2.45,1.9,0.84,73.3575,1.870394710931123,1.3585636924739553,0.5118310184571677,68.78977591883968,73.3575,79.47474406902309,67.24025593097691
2020-11-27,601318,79.94,80.54,80.7,78.95,747955,6694376960.0,2.2,1.19,0.95,0.69,73.971,2.129634282124357,1.5127778104040357,0.6168564717203213,70.54143159618702,73.971,80.37851714785049,67.56348285214952
2020-11-30,601318,81.44,80.47,85.06,80.47,1539196,14316071680.0,5.7,-0.09,-0.07,1.42,74.611,2.3028888261404177,1.6708000135513121,0.6320888125891055,70.22866139971649,74.611,80.9296039597365,68.29239604026351
2020-12-01,601318,81.14,83.82,83.82,80.09,854206,7840114688.0,4.64,4.16,3.35,0.79,75.32199999999999,2.679622285684175,1.872564467977885,0.8070578177062901,75.76637952727059,75.32199999999999,82.3818713869303,68.26212861306968
2020-12-02,601318,83.82,83.29,84.29,82.53,650688,6049580288.0,2.1,-0.63,-0.53,0.6,75.98949999999999,2.9019676196779045,2.0784450983178893,0.8235225213600152,73.43895961452839,75.98949999999999,83.40328304241477,68.57571695758521
2020-12-03,601318,83.23,82.31,83.87,81.65,509917,4689461248.0,2.67,-1.18,-0.98,0.47,76.536,2.964922310189479,2.2557405406922073,0.7091817694972717,69.20569942659553,76.536,84.1195200270057,68.9524799729943
